股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),港股代码,基本面打分,短线打分,长线打分,目标价,备注
688372,伟测科技,芯片智造,传统封测,测试服务核心、技术领先,16.15,56.03,无,55.0,72.0,77.8,214.54,基本面55.0 | 短线72.0 | 中期77.8 | 技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率35.0%，盈利能力良好；ROE 2.4%偏低；营收同比71.8%；利润同比173.4% | 月涨幅分位33%；换手率12.18%；成交额35.9亿；价在MA20上方
688146,中船特气,芯片智造,电子特气,行业核心、国产替代,112.1,820.4,无,53.0,54.0,78.4,325.0,基本面53.0 | 短线54.0 | 中期78.4 | 电子特气、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率30.2%，盈利能力良好；ROE 1.7%偏低；营收同比36.0%；利润同比16.9% | 月涨幅分位97%；换手率9.21%；成交额43.4亿；价在MA20下方
600584,长电科技,芯片智造,传统封测、韬定律、先进封装,封测龙头、产能领先、技术标杆,91.94,181.49,无,46.0,74.6,89.7,108.62,基本面46.0 | 短线74.6 | 中期89.7 | 先进封装、龙头、技术标杆、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率14.5%，利润垫偏薄；ROE 1.0%偏低；营收同比-1.8%；利润同比42.7% | 月涨幅分位96%；换手率11.65%；成交额197.5亿；价在MA20上方
600487,亨通光电,光模块,光纤光缆,光纤龙头、光棒自主、全产业链、产能领先,-1.22,341.7,无,54.0,34.8,57.3,91.86,基本面54.0 | 短线34.8 | 中期57.3 | 光纤光缆、龙头、产能领先、全产业链；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率16.0%，利润垫偏薄；ROE 3.4%偏低；营收同比34.1%；利润同比98.5% | 月涨幅分位7%；换手率8.13%；成交额171.3亿；价在MA20下方
300373,扬杰科技,芯片智造,功率半导体,行业核心、国产替代、技术领先,33.63,122.15,无,56.0,50.6,75.6,146.31,基本面56.0 | 短线50.6 | 中期75.6 | 技术领先、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率36.8%，盈利能力良好；ROE 4.0%偏低；营收同比34.9%；利润同比41.0% | 月涨幅分位63%；换手率4.41%；成交额31.2亿；价在MA20上方
688268,华特气体,芯片智造,电子特气,行业龙头、产能领先,-9.89,339.1,无,51.0,34.8,69.9,199.57,基本面51.0 | 短线34.8 | 中期69.9 | 电子特气、行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率30.2%，盈利能力良好；ROE 1.7%偏低；营收同比13.7%；利润同比-23.7% | 月涨幅分位3%；换手率6.41%；成交额17.8亿；价在MA20下方
600522,中天科技,芯片智造,铜箔,PET复合铜箔龙头、宁德时代绑定,17.59,224.72,无,46.0,40.9,61.1,49.69,基本面46.0 | 短线40.9 | 中期61.1 | 铜箔、龙头；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率15.6%，利润垫偏薄；ROE 2.4%偏低；营收同比34.7%；利润同比46.4% | 月涨幅分位36%；换手率7.87%；成交额131.4亿；价在MA20下方
300620,光库科技,光模块,高速光芯片,全产业链、DFB量产、技术储备、高弹性,9.33,148.69,无,60.0,21.3,56.6,321.99,基本面60.0 | 短线21.3 | 中期56.6 | 高速光芯片、全产业链；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率36.6%，盈利能力良好；ROE 2.0%偏低；营收同比60.8%；利润同比312.5% | 月涨幅分位21%；换手率3.80%；成交额28.5亿；价在MA20下方
688037,芯源微,芯片智造,光刻设备、韬定律、键合,行业龙头、产能领先,44.76,169.1,无,56.0,62.4,81.0,378.77,基本面56.0 | 短线62.4 | 中期81.0 | 光刻设备、行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率46.7%，盈利能力优秀；ROE 0.1%偏低；营收同比20.1%；利润同比-24.7% | 月涨幅分位71%；换手率4.51%；成交额33.1亿；价在MA20上方
688256,寒武纪,芯片智造,AI算力芯片,训练芯片核心、技术标杆,47.74,63.08,无,70.0,37.0,68.0,1597.81,基本面70.0 | 短线37.0 | 中期68.0 | AI算力芯片、技术标杆、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.3%，盈利壁垒强；ROE 8.2%；营收同比159.6%；利润同比185.0% | 月涨幅分位77%；换手率1.65%；成交额140.5亿；价在MA20下方
688048,长光华芯,光模块,高速光芯片,激光芯片龙头、技术研发、机构重仓、储备充足,-6.58,233.73,无,62.0,54.4,79.9,505.66,基本面62.0 | 短线54.4 | 中期79.9 | 高速光芯片、龙头、机构重仓；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率30.1%，盈利能力良好；ROE 0.1%偏低；营收同比37.8%；利润同比159.7% | 月涨幅分位4%；换手率7.97%；成交额61.5亿；价在MA20上方
2185,华天科技,芯片智造,传统封测、韬定律,封测核心、技术领先、国产替代,61.85,100.18,无,50.0,58.8,79.4,22.97,基本面50.0 | 短线58.8 | 中期79.4 | 技术领先、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率11.3%，利润垫偏薄；ROE 0.5%偏低；营收同比34.5%；利润同比568.4% | 月涨幅分位89%；换手率10.44%；成交额69.9亿；价在MA20上方
688107,安路科技,芯片智造,车规芯片、DSP芯片,车规FPGA核心、国产DSP核心,53.09,52.39,无,55.0,37.7,77.5,45.98,基本面55.0 | 短线37.7 | 中期77.5 | 车规芯片、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率41.3%，盈利能力优秀；ROE -4.4%偏低；营收同比77.5%；利润同比32.4% | 月涨幅分位82%；换手率3.13%；成交额5.2亿；价在MA20上方
300394,天孚通信,光模块,CPO光引擎,CPO龙头、封装核心、绑定头部、高毛利,32.34,104.23,无,68.0,34.9,32.1,247.56,基本面68.0 | 短线34.9 | 中期32.1 | CPO光引擎、龙头、高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率56.6%，盈利壁垒强；ROE 8.6%；营收同比40.8%；利润同比45.8% | 月涨幅分位61%；换手率4.26%；成交额111.1亿；价在MA20下方
600183,生益科技,芯片智造,铜箔,ABF铜箔、覆铜板龙头、配套深南/兴森,81.41,142.4,无,54.0,39.1,74.7,173.87,基本面54.0 | 短线39.1 | 中期74.7 | 铜箔、龙头；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率28.1%，处于一般水平；ROE 6.7%；营收同比45.1%；利润同比105.5% | 月涨幅分位95%；换手率2.54%；成交额95.2亿；价在MA20下方
603893,瑞芯微,芯片智造,车规芯片,车规SoC核心、技术领先,13.02,1.58,无,62.0,27.6,41.2,188.59,基本面62.0 | 短线27.6 | 中期41.2 | 车规芯片、技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率43.0%，盈利能力优秀；ROE 7.2%；营收同比36.2%；利润同比57.1% | 月涨幅分位31%；换手率3.32%；成交额24.7亿；价在MA20上方
2156,通富微电,芯片智造,传统封测、韬定律,封测核心、产能领先、国产替代,47.69,92.93,无,49.0,45.4,67.6,73.12,基本面49.0 | 短线45.4 | 中期67.6 | 产能领先、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率13.3%，利润垫偏薄；ROE 2.1%偏低；营收同比22.8%；利润同比224.5% | 月涨幅分位77%；换手率7.30%；成交额73.7亿；价在MA20下方
2222,福晶科技,芯片智造,光刻设备,晶体龙头、产能领先,12.32,50.34,无,63.0,18.2,26.0,79.69,基本面63.0 | 短线18.2 | 中期26.0 | 光刻设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率44.9%，盈利能力优秀；ROE 3.6%偏低；营收同比35.6%；利润同比30.7% | 月涨幅分位29%；换手率4.70%；成交额17.8亿；价在MA20下方
2436,兴森科技,芯片智造,ABF载板、PCB,ABF载板龙头、封装基板核心、产能领先,29.79,131.79,无,52.0,42.8,70.8,50.63,基本面52.0 | 短线42.8 | 中期70.8 | ABF载板、PCB、龙头、产能领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.2%，利润垫偏薄；ROE 0.3%偏低；营收同比15.1%；利润同比100.0% | 月涨幅分位57%；换手率8.47%；成交额57.7亿；价在MA20下方
688018,乐鑫科技,芯片智造,车规芯片,核心供应商、国产替代,4.32,-4.28,无,59.0,20.6,27.4,113.58,基本面59.0 | 短线20.6 | 中期27.4 | 车规芯片、国产替代、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率48.5%，盈利能力优秀；ROE 3.0%偏低；营收同比16.2%；利润同比44.8% | 月涨幅分位14%；换手率4.39%；成交额11.9亿；价在MA20下方
603773,沃格光电,芯片智造,玻璃基板,光电玻璃龙头、技术壁垒高、产能领先、TGV龙头,71.51,361.7,无,43.0,47.2,70.9,115.14,基本面43.0 | 短线47.2 | 中期70.9 | 龙头、技术壁垒高、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率16.7%，利润垫偏薄；ROE -4.7%偏低；营收同比8.5%；利润同比-112.1% | 月涨幅分位91%；换手率10.08%；成交额28.9亿；价在MA20下方
688409,富创精密,芯片智造,薄膜沉积,零部件核心、技术领先,53.02,342.14,无,57.0,54.0,86.9,292.5,基本面57.0 | 短线54.0 | 中期86.9 | 薄膜沉积、技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率27.1%，处于一般水平；ROE 1.3%偏低；营收同比36.8%；利润同比361.5% | 月涨幅分位82%；换手率3.05%；成交额23.1亿；价在MA20上方
300458,全志科技,芯片智造,车规芯片,核心供应商、国产替代,8.72,7.57,无,65.0,29.2,70.5,42.4,基本面65.0 | 短线29.2 | 中期70.5 | 车规芯片、国产替代、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率40.2%，盈利能力优秀；ROE 6.3%；营收同比47.1%；利润同比121.8% | 月涨幅分位21%；换手率5.95%；成交额17.9亿；价在MA20上方
2371,北方华创,芯片智造,刻蚀设备、韬定律、键合,行业核心、产能领先、国产替代,38.52,87.37,无,59.0,51.7,80.4,879.82,基本面59.0 | 短线51.7 | 中期80.4 | 刻蚀设备、产能领先、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率40.8%，盈利能力优秀；ROE 4.2%偏低；营收同比25.8%；利润同比3.4% | 月涨幅分位66%；换手率2.10%；成交额121.9亿；价在MA20上方
603005,晶方科技,芯片智造,传统封测,封测核心、技术突破、国产替代,37.46,77.81,无,53.0,37.4,58.2,42.93,基本面53.0 | 短线37.4 | 中期58.2 | 技术突破、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率47.4%，盈利能力优秀；ROE 1.4%偏低；营收同比14.9%；利润同比0.1% | 月涨幅分位65%；换手率9.93%；成交额27.7亿；价在MA20下方
688521,芯原股份,芯片智造,AI算力芯片,AI芯片IP核心、国产替代,10.38,164.29,无,54.0,46.8,69.4,289.81,基本面54.0 | 短线46.8 | 中期69.4 | AI算力芯片、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率32.3%，盈利能力良好；ROE -10.4%偏低；营收同比114.5%；利润同比-54.7% | 月涨幅分位23%；换手率4.05%；成交额63.5亿；价在MA20上方
300567,精测电子,芯片智造,刻蚀设备,检测核心、技术领先,58.93,224.18,无,56.0,56.7,82.7,292.28,基本面56.0 | 短线56.7 | 中期82.7 | 刻蚀设备、技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率45.4%，盈利能力优秀；ROE 1.0%偏低；营收同比7.3%；利润同比13.6% | 月涨幅分位88%；换手率4.22%；成交额25.3亿；价在MA20上方
688802,沐曦股份,芯片智造,AI算力芯片,算力芯片核心、技术突破,-3.2,36.8,无,67.0,21.9,57.4,812.98,基本面67.0 | 短线21.9 | 中期57.4 | AI算力芯片、技术突破、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率60.1%，盈利壁垒强；ROE -0.8%偏低；营收同比75.4%；利润同比57.5% | 月涨幅分位6%；换手率9.61%；成交额12.8亿；价在MA20下方
603650,彤程新材,芯片智造,光刻胶,KrF核心、技术领先,0.85,116.34,无,48.0,42.5,79.4,87.08,基本面48.0 | 短线42.5 | 中期79.4 | 光刻胶、技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率22.2%，处于一般水平；ROE 4.3%偏低；营收同比22.5%；利润同比13.8% | 月涨幅分位10%；换手率5.83%；成交额30.7亿；价在MA20上方
688234,天岳先进,芯片智造,碳化硅基板,碳化硅衬底龙头、技术壁垒高、产能领先、核心供应商,58.21,97.21,无,41.0,33.2,59.5,124.77,基本面41.0 | 短线33.2 | 中期59.5 | 碳化硅基板、龙头、技术壁垒高、产能领先、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.1%，利润垫偏薄；ROE -0.8%偏低；营收同比-10.4%；利润同比-810.4% | 月涨幅分位88%；换手率2.93%；成交额18.1亿；价在MA20下方
603290,斯达半导,芯片智造,功率半导体,IGBT龙头、产能领先、国产替代,24.2,45.47,无,45.0,34.0,53.6,112.23,基本面45.0 | 短线34.0 | 中期53.6 | 龙头、产能领先、国产替代；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率21.1%，处于一般水平；ROE 0.4%偏低；营收同比-6.0%；利润同比-74.3% | 月涨幅分位47%；换手率5.20%；成交额15.8亿；价在MA20下方
688502,茂莱光学,芯片智造,光刻设备,光学核心、技术壁垒高,1.53,44.95,无,56.0,30.0,70.3,531.09,基本面56.0 | 短线30.0 | 中期70.3 | 光刻设备、技术壁垒高、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率40.4%，盈利能力优秀；ROE -0.9%偏低；营收同比28.6%；利润同比-166.8% | 月涨幅分位11%；换手率3.70%；成交额10.9亿；价在MA20上方
688143,长盈通,光模块,光纤光缆,光纤光缆核心、军工配套、技术领先、国产替代,114.19,258.49,无,52.0,39.5,68.2,143.38,基本面52.0 | 短线39.5 | 中期68.2 | 光纤光缆、技术领先、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率46.3%，盈利能力优秀；ROE 0.4%偏低；营收同比29.5%；利润同比-28.7% | 月涨幅分位98%；换手率6.35%；成交额11.8亿；价在MA20下方
605111,新洁能,芯片智造,功率半导体,行业核心、MOSFET龙头、国产替代,77.11,153.6,无,48.0,58.9,80.1,79.28,基本面48.0 | 短线58.9 | 中期80.1 | 龙头、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率28.7%，处于一般水平；ROE 2.2%偏低；营收同比15.1%；利润同比-12.7% | 月涨幅分位94%；换手率6.07%；成交额20.5亿；价在MA20上方
603078,江化微,芯片智造,湿电子化学品,行业核心、国产替代,35.01,152.56,无,45.0,80.8,97.4,64.83,基本面45.0 | 短线80.8 | 中期97.4 | 国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率27.1%，处于一般水平；ROE 1.4%偏低；营收同比16.9%；利润同比7.3% | 月涨幅分位64%；换手率16.68%；成交额35.7亿；价在MA20上方
2938,鹏鼎控股,芯片智造,PCB,参股礼鼎、全球PCB龙头、HBM载板核心,47.94,103.71,无,44.0,29.9,65.1,85.67,基本面44.0 | 短线29.9 | 中期65.1 | PCB、龙头、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率22.9%，处于一般水平；ROE 1.4%偏低；营收同比-1.2%；利润同比-5.2% | 月涨幅分位79%；换手率1.62%；成交额35.7亿；价在MA20下方
688396,华润微,芯片智造,功率半导体,行业核心、产能领先、技术领先,20.56,75.1,无,53.0,41.6,79.9,97.88,基本面53.0 | 短线41.6 | 中期79.9 | 产能领先、技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率25.5%，处于一般水平；ROE 1.4%偏低；营收同比21.3%；利润同比296.6% | 月涨幅分位41%；换手率2.92%；成交额33.1亿；价在MA20上方
